order_id,order_date,customer_id,customer_age,region,sales_channel,product_name,category,quantity,unit_price,discount_rate,revenue,cost,campaign,payment_method,delivery_days,customer_rating,returned,gross_profit,gross_margin,month,age_group,returned_flag
ORD-00001,2025-11-24,C1380,52,North,Mobile App,Bluetooth Headphones,Audio,1,2340.06,0.05,2223.06,1684.84,Influencer,Cash,5,2,No,538.22,0.2421,2025-11,45-54,0
ORD-00002,2025-01-14,C1175,35,West,Website,Smart Watch,Wearables,2,6189.18,0.0,12378.36,9283.77,Search Ads,UPI,4,3,No,3094.59,0.25,2025-01,35-44,0
ORD-00003,2025-02-17,C1194,23,North,Website,Webcam Pro,Office,1,3016.38,0.25,2262.28,2141.63,Festive Sale,Credit Card,1,4,No,120.65,0.0533,2025-02,18-24,0
ORD-00004,2025-12-27,C1195,35,North,Mobile App,Bluetooth Headphones,Audio,3,2645.53,0.0,7936.59,5714.36,Search Ads,Debit Card,2,4,No,2222.23,0.28,2025-12,35-44,0
ORD-00005,2025-07-01,C1274,33,East,Mobile App,Smart Watch,Wearables,2,6128.56,0.0,12257.12,9192.84,Organic,Credit Card,6,3,No,3064.28,0.25,2025-07,25-34,0
ORD-00006,2025-12-17,C1291,63,North,Website,Mechanical Keyboard,Accessories,1,3256.14,0.2,2604.91,2279.29,Email Offer,Net Banking,4,4,No,325.62,0.125,2025-12,55+,0
ORD-00007,2025-03-15,C1299,43,South,Website,Laptop Stand,Office,2,1316.58,0.1,2369.84,1658.89,Influencer,UPI,5,4,No,710.95,0.3,2025-03,35-44,0
ORD-00008,2025-03-20,C1006,61,West,Mobile App,USB-C Hub,Accessories,1,2042.13,0.2,1633.7,1347.81,Email Offer,Debit Card,5,5,No,285.89,0.175,2025-03,55+,0
ORD-00009,2026-01-29,C1135,50,North,Website,Mechanical Keyboard,Accessories,1,3709.42,0.0,3709.42,2596.59,Influencer,Cash,5,5,No,1112.83,0.3,2026-01,45-54,0
ORD-00010,2025-11-08,C1058,41,South,Website,Smart Watch,Wearables,1,5988.06,0.2,4790.45,4491.05,Festive Sale,Credit Card,5,5,No,299.4,0.0625,2025-11,35-44,0
ORD-00011,2025-01-30,C1066,60,North,Website,Smart Watch,Wearables,1,6254.16,0.0,6254.16,4690.62,Organic,Credit Card,3,4,No,1563.54,0.25,2025-01,55+,0
ORD-00012,2025-10-04,C1116,22,East,Website,Smart Watch,Wearables,2,5635.22,0.25,8452.83,8452.84,Email Offer,Cash,7,4,No,-0.01,-0.0,2025-10,18-24,0
ORD-00013,2025-04-23,C1122,35,North,Mobile App,Wireless Mouse,Accessories,1,744.14,0.2,595.31,513.46,Festive Sale,Cash,6,4,No,81.85,0.1375,2025-04,35-44,0
ORD-00014,2025-08-31,C1217,44,West,Mobile App,Smart Watch,Wearables,1,5932.82,0.0,5932.82,4449.62,Influencer,UPI,6,4,No,1483.2,0.25,2025-08,35-44,0
ORD-00015,2025-02-01,C1072,45,East,Mobile App,Webcam Pro,Office,1,3016.41,0.05,2865.59,2141.65,Search Ads,UPI,4,3,No,723.94,0.2526,2025-02,45-54,0
ORD-00016,2025-01-26,C1206,21,North,Retail Store,Wireless Mouse,Accessories,3,796.62,0.25,1792.4,1649.0,Email Offer,Debit Card,3,3,Yes,143.4,0.08,2025-01,18-24,1
ORD-00017,2026-02-06,C1080,30,East,Website,Portable Speaker,Audio,4,2275.84,0.2,7282.69,6645.47,Influencer,Debit Card,2,4,No,637.22,0.0875,2026-02,25-34,0
ORD-00018,2025-01-30,C1036,56,West,Mobile App,Wireless Mouse,Accessories,3,843.92,0.1,2278.58,1746.91,Festive Sale,UPI,3,2,No,531.67,0.2333,2025-01,55+,0
ORD-00019,2025-10-19,C1134,31,North,Mobile App,Smart Watch,Wearables,1,6020.87,0.2,4816.7,4515.65,Organic,Debit Card,4,4,No,301.05,0.0625,2025-10,25-34,0
ORD-00020,2025-08-23,C1260,34,North,Website,Mechanical Keyboard,Accessories,2,3520.07,0.1,6336.13,4928.1,Festive Sale,Credit Card,5,3,No,1408.03,0.2222,2025-08,25-34,0
ORD-00021,2025-07-09,C1335,51,South,Website,Laptop Stand,Office,2,1399.56,0.1,2519.21,1763.45,Organic,Debit Card,3,1,No,755.76,0.3,2025-07,45-54,0
